ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2023,11320,도봉구,10800,도봉동,,,,,,2023-05-17,16000,43.57,67.5,0.0,,,1969,단독다가구,중개거래,서울 도봉구
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25500,26.1,16.28,4.0,,,2023,연립다세대,직거래,
2023,11305,강북구,10300,수유동,1,대지,0322,0018,세인트캐슬,2023-05-17,23800,41.28,22.8,6.0,,,2014,연립다세대,중개거래,서울 강북구
2023,11290,성북구,10900,동소문동6가,,,,,,2023-05-17,45000,119.38,86.9,0.0,,,1994,단독다가구,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25650,26.05,16.25,3.0,,,2023,연립다세대,직거래,
2023,11350,노원구,10300,공릉동,1,대지,0707,0000,시영2단지(라이프)아파트,2023-05-17,44000,49.5,0.0,12.0,,,1994,아파트,중개거래,서울 노원구
2023,11560,영등포구,11600,당산동6가,1,대지,0234,0004,모어리치빌,2023-05-17,42700,60.18,39.7,3.0,,,2009,연립다세대,중개거래,서울 영등포구
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25350,26.05,16.25,2.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,11000,여의도동,1,대지,0010,0003,시그니티 여의도,2023-05-17,86470,47.79,70.47,13.0,,,2023,오피스텔,중개거래,서울 영등포구
2023,11350,노원구,10500,상계동,1,대지,0639,0000,보람2단지,2023-05-17,42000,79.25,0.0,5.0,,,1988,아파트,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25500,26.1,16.28,3.0,,,2023,연립다세대,직거래,
2023,11620,관악구,10100,봉천동,1,대지,1568,0001,서울대입구한양아이클래스,2023-05-17,18000,16.4,0.0,17.0,,,2018,아파트,중개거래,서울 관악구
2023,11500,강서구,10300,화곡동,1,대지,1059,0026,리치하우스6차,2023-05-17,26000,40.65,23.19,6.0,,,2016,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25650,26.05,16.25,4.0,,,2023,연립다세대,직거래,
2023,11470,양천구,10200,목동,1,대지,0804,0025,신성빌라(804),2023-05-17,25400,56.98,24.07,2.0,,,1993,연립다세대,중개거래,서울 양천구
2023,11305,강북구,10300,수유동,1,대지,0197,0001,삼성빌라1차,2023-05-17,9300,41.53,25.25,-1.0,,,1991,연립다세대,직거래,
2023,11680,강남구,11100,세곡동,1,대지,0616,0000,강남 드림하이 오피스텔,2023-05-17,44000,42.46,60.59,7.0,,,2018,오피스텔,중개거래,서울 강남구
2023,11590,동작구,10500,흑석동,1,대지,0340,0000,롯데캐슬에듀포레,2023-05-17,156000,84.99,0.0,16.0,,,2018,아파트,중개거래,서울 동작구
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25750,26.21,16.35,2.0,,,2023,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1,대지,0326,0000,목동신시가지12,2023-05-17,135000,71.64,0.0,9.0,,,1988,아파트,중개거래,서울 양천구
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25350,26.05,16.25,2.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,11000,여의도동,1,대지,0013,0021,맨하탄21리빙텔,2023-05-17,20400,41.58,41.58,8.0,,,2001,오피스텔,중개거래,서울 영등포구
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25650,26.05,16.25,4.0,,,2023,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25500,26.1,16.28,5.0,,,2023,연립다세대,직거래,
